نوع الخامة 	اسم  الصنف	الكود	المتبقى طول	المنلقى عرض	النوع	الحالة
ppf	p2	4174/2	1500	152	رول	حديد
ppf	p2	49871/1	1500	152	رول	حديد
ppf	p2	49871/2	1500	152	رول	حديد
ppf	p2	54740/1	1500	152	رول	حديد
ppf	p2	54740/2	1500	152	رول	حديد
ppf	p2	52870/1	1500	152	رول	حديد
ppf	p2	52870/2	1500	152	رول	حديد
ppf	p2	55778/1	1500	152	رول	حديد
ppf	p2	5778/2	1500	152	رول	حديد
ppf	p2	59450/1	1500	152	رول	حديد
ppf	p2	59450/2	1500	152	رول	حديد
ppf	p2	54161/1	1500	152	رول	حديد
ppf	p2	54161/2	1500	152	رول	حديد
ppf	p2	56610/1	1500	152	رول	حديد
ppf	p2	56610/2	1500	152	رول	حديد
ppf	p2	57069/1	1500	152	رول	حديد
ppf	p2	57069/2	1500	152	رول	حديد
ppf	p2	5291/1	1500	152	رول	حديد
ppf	p2	52291/2	1500	152	رول	حديد
ppf	p2	57648/1	1500	152	رول	حديد
ppf	p2	57648/2	1500	152	رول	حديد
ppf	p2	56031/1	1500	152	رول	حديد
ppf	p2	56031/2	1500	152	رول	حديد
ppf	p2	55199/1	1500	152	رول	حديد
ppf	p2	55199/2	1500	152	رول	حديد
ppf	p2	51900/1	1500	152	رول	حديد
ppf	p2	51900/2	1500	152	رول	حديد
ppf	p2	48901/1	1500	152	رول	حديد
ppf	p2	48901/2	1500	152	رول	حديد
ppf	p2	59518/1	1500	152	رول	حديد
ppf	p2	59518/2	1500	152	رول	حديد
ppf	p2	50489/1	1500	152	رول	حديد
ppf	p2	50489/2	1500	152	رول	حديد
ppf	p2	54808/1	1500	152	رول	حديد
ppf	p2	54808/2	1500	152	رول	حديد
ppf	p2	54229/1	1500	152	رول	حديد
ppf	p2	54229/2	1500	152	رول	حديد
ppf	p2	59939/1	1500	152	رول	حديد
ppf	p2	59939/2	1500	152	رول	حديد
ppf	p2	51321/1	1500	152	رول	حديد
ppf	p2	51321/2	1500	152	رول	حديد
