,,,,,
,,,,,
,,,,,
,,,,,
نوع الخامة ,اسم  الصنف,الكود,Count of اسم  الصنف,Sum of المتبقى طول,Sum of المنلقى عرض
MATT,الإجمالي ساتن  j.y.h,,1,1500,152
الإجمالي MATT,,,1,1500,152
Plixi,Plixi,16731/1,1,3000,152
,Plixi Plus,06340/1,1,3000,152
,,06340/2,1,3000,152
,,14353/2,1,1500,152
الإجمالي Plixi,,,4,10500,608
ppf, KM - PLUS,03218/2,1,1500,152
,( C )  توزيع,14695/1,1,1500,152
,,14695/2,1,1500,152
,,16565/1,1,1500,152
,,16565/2,1,1500,152
,,57743/2,1,1500,152
,,93242/2,1,1500,152
,( C )  توزيع PA2,01745/1,1,1500,152
,تركيب عريض K.C,09248/1,1,1500,180
,,58292/1,1,1500,180
,,58292/2,1,1500,180
,p2,4174/2,1,1500,152
,,48901/1,1,1500,152
,,48901/2,1,1500,152
,,49871/1,1,1500,152
,,49871/2,1,1500,152
,,50489/1,1,1500,152
,,50489/2,1,1500,152
,,51321/1,1,1500,152
,,51321/2,1,1500,152
,,51900/1,1,1500,152
,,51900/2,1,1500,152
,,52291/2,1,1500,152
,,52359/1,1,1500,152
,,52870/1,1,1500,152
,,52870/2,1,1500,152
,,5291/1,1,1500,152
,,54161/1,1,1500,152
,,54161/2,1,1500,152
,,54229/1,1,1500,152
,,54229/2,1,1500,152
,,54740/1,1,1500,152
,,54740/2,1,1500,152
,,54808/1,1,1500,152
,,54808/2,1,1500,152
,,55199/1,1,1500,152
,,55199/2,1,1500,152
,,55778/1,1,1500,152
,,56031/1,1,1500,152
,,56031/2,1,1500,152
,,56610/1,1,1500,152
,,56610/2,1,1500,152
,,57069/1,1,1500,152
,,57069/2,1,1500,152
,,57580/1,1,1500,152
,,57580/2,1,1500,152
,,57648/1,1,1500,152
,,57648/2,1,1500,152
,,5778/2,1,1500,152
,,59450/1,1,1500,152
,,59450/2,1,1500,152
,,59518/1,1,1500,152
,,59518/2,1,1500,152
,,59939/1,1,1500,152
,,59939/2,1,1500,152
الإجمالي ppf,,,55,82500,8444
W F,WF 1,08210/1,1,3000,152
,,08210/2,1,3000,152
,,15130/1,1,3000,152
,,15130/2,1,3000,152
,,23701/1,1,3000,152
,,23701/2,1,3000,152
,,49942/1,1,3000,152
,,49942/2,1,3000,152
,,91951/1,1,3000,152
,WF 2,44232/2,1,3000,152
,,64897/2,1,3000,152
,,80665/1,1,3000,152
,,80665/2,1,3000,152
,,91951/2,1,3000,152
,WF 3,54357/1,1,3000,152
,,54357/2,1,3000,152
,,60136/1,1,3000,152
,WF 4,01745/2,1,3000,152
,,02960/1,1,3000,152
,,02960/2,1,3000,152
,WF 5,03500/1,1,3000,152
,,03500/2,1,3000,152
,,04470/1,1,3000,152
,,11934/1,1,3000,152
,WF 6,04585/1,1,3000,152
,,04585/2,1,3000,152
,,59464/1,1,3000,152
,,59464/2,1,3000,152
الإجمالي W F,,,28,84000,4256
الإجمالي العام,,,88,178500,13460
