code,is_transactional,name,nature,parent_id,type
1,FALSE,الأصول,Debit,,Asset
11,FALSE,أصول متداولة,Debit,1,Asset
1101,FALSE,النقدية وما في حكمها,Debit,11,Asset
110101,FALSE,النقدية بالخزينة,Debit,1101,Asset
11010101,TRUE,الخزينة الرئيسية,Debit,110101,Asset
11010102,TRUE,الخزينة الفرعية (الكاشير),Debit,110101,Asset
110102,FALSE,النقدية بالبنوك,Debit,1101,Asset
11010201,TRUE,بنك الإسكندرية,Debit,110102,Asset
11010202,TRUE,بنك CIB,Debit,110102,Asset
11010203,TRUE,بنك QNB,Debit,110102,Asset
11010204,TRUE,بنك عوده,Debit,110102,Asset
11010205,TRUE,بنك الإسكندرية,Debit,110102,Asset
110103,TRUE,العهد النقدية,Debit,1101,Asset
1102,FALSE,العملاء والمدينون,Debit,11,Asset
110201,TRUE,عملاء تجاريون (عام),Debit,1102,Asset
1103,FALSE,المخزون,Debit,11,Asset
110301,TRUE,مخزن الخامات الرئيسي,Debit,1103,Asset
110302,TRUE,مخزن الرولات,Debit,1103,Asset
110303,TRUE,مخزن لوازم التشغيل,Debit,1103,Asset
1104,FALSE,أرصدة مدينة أخرى,Debit,11,Asset
110401,TRUE,سلف عاملين,Debit,1104,Asset
110402,TRUE,قروض عاملين (مستديمة),Debit,1104,Asset
110403,TRUE,ضريبة القيمة المضافة (مشتريات),Debit,1104,Asset
110404,TRUE,ضريبة خصم من المنبع (مدينة),Debit,1104,Asset
110405,TRUE,مصروفات مقدمة,Debit,1104,Asset
12,FALSE,أصول غير متداولة,Debit,1,Asset
1201,FALSE,الأصول الثابتة (التكلفة),Debit,12,Asset
120101,TRUE,أراضي ومباني,Debit,1201,Asset
120102,TRUE,الآلات والمعدات,Debit,1201,Asset
120103,TRUE,أثاث ومفروشات,Debit,1201,Asset
120104,TRUE,أجهزة حاسب آلي و الكترونيات,Debit,1201,Asset
120105,TRUE,سيارات ووسائل نقل,Debit,1201,Asset
1203,TRUE,مشروعات تحت التنفيذ,Debit,12,Asset
1202,FALSE,مجمع الإهلاك (عكسي),Credit,12,Asset
120201,TRUE,مجمع إهلاك المباني,Credit,1202,Asset
120202,TRUE,مجمع إهلاك الآلات,Credit,1202,Asset
120203,TRUE,مجمع إهلاك الأثاث,Credit,1202,Asset
120204,TRUE,مجمع إهلاك السيارات,Credit,1202,Asset
2,FALSE,الالتزامات,Credit,,Liability
21,FALSE,التزامات متداولة,Credit,2,Liability
2101,FALSE,الموردين والدائنون,Credit,21,Liability
210101,TRUE,موردين تجاريون (عام),Credit,2101,Liability
210102,TRUE,مشتريات- وسيط استلام (GRNI),Credit,2101,Liability
2102,FALSE,أرصدة دائنة أخرى,Credit,21,Liability
